key,name,token,token_kind,token_id,stats_endian,STR,DEX,CON,INT,SPD,CHA,LCK,error
42,Mostly Safe,male13,male,13,le,5,5,4,5,5,7,4,
43,Marzipan,male11,male,11,le,6,6,6,4,5,5,6,
44,Jed,male11,male,11,le,6,6,5,7,5,6,6,
45,Malin,female32,female,32,le,5,5,6,5,4,5,5,
46,Julia,male52,male,52,le,5,4,5,5,6,5,5,
47,Dug,male51,male,51,le,6,5,5,7,5,5,4,
48,Henriada,male99,male,99,le,4,4,6,7,4,6,4,
49,Ogbert,male1,male,1,le,5,5,5,4,5,7,4,
50,Sheldon,female41,female,41,le,6,4,5,4,6,4,6,
51,Kit,female41,female,41,le,4,4,6,7,4,6,6,
52,Mikan,male13,male,13,le,5,5,5,4,5,7,4,
53,Ed,male81,male,81,le,4,4,5,6,4,5,7,
54,Executive Director,male11,male,11,le,6,4,5,7,6,6,4,
55,Mister Darcy,female41,female,41,le,4,4,6,4,4,4,4,
56,Walkyria,male614,male,614,be,5,5,5,5,6,4,0,
57,Psyche,male614,male,614,be,5,5,5,6,4,4,0,
58,Tuzik,female37,female,37,le,4,6,6,4,4,6,5,
59,Crunchwrap,female114,female,114,be,5,7,3,5,3,4,4,
60,Giuliano,female55,female,55,le,6,5,5,5,4,5,5,
61,Garry,male30,male,30,le,5,4,5,5,4,7,5,
62,Ghada,male11,male,11,le,6,4,5,5,6,5,4,
63,Madame Giraud,male52,male,52,le,5,6,6,4,5,5,4,
64,Nipples,male25,male,25,le,5,6,4,6,4,6,4,
65,Tuila,male11,male,11,le,6,4,5,7,4,6,5,
66,Azar,male614,male,614,be,5,5,5,5,5,5,0,
67,Brick,female26,female,26,le,5,7,3,5,6,5,4,
68,Kioki,male11,male,11,le,6,4,5,5,6,7,4,
69,Bamse,male11,male,11,le,6,4,5,5,4,7,4,
70,Wiener,male61,male,61,le,5,5,5,5,5,5,4,
71,Baton,male31,male,31,le,6,5,6,4,4,4,6,
72,Keaton,male30,male,30,le,6,4,5,7,4,6,4,
73,Pippi,female11,female,11,le,6,5,3,5,3,3,6,
74,Fuzzbutt,male31,male,31,le,5,5,6,4,4,4,4,
75,Pupina,male314,male,314,be,5,6,4,4,4,4,0,
76,Gemini,male25,male,25,le,5,6,5,5,4,5,5,
77,Aslan,male28,male,28,le,4,6,7,3,4,5,6,
78,Tootie,female26,female,26,le,5,7,3,5,6,7,5,
79,Piccolo Attila,male11,male,11,le,6,4,5,5,6,7,4,
80,Denji,male97,male,97,le,6,4,5,5,5,4,6,
81,Manota,male11,male,11,le,6,4,5,5,4,7,5,
82,Meredith,male1,male,1,le,4,5,7,4,4,6,5,
83,Assad,male11,male,11,le,6,4,5,5,4,6,5,
84,Jonkler,male64,male,64,le,5,6,5,6,4,4,5,
85,Horacia,male11,male,11,le,6,4,5,5,4,6,5,
86,Mikesch,male11,male,11,le,5,4,5,5,4,7,4,
87,Alfie,male11,male,11,le,6,4,5,5,4,7,5,
88,Rikkor,male60,male,60,le,5,6,4,5,6,5,4,
89,Street Woman,male11,male,11,le,6,4,5,5,4,6,5,
90,Plumeria,male11,male,11,le,6,4,5,7,4,6,5,
91,Charcoal,male100,male,100,le,4,5,3,6,6,5,6,
92,Trixey,male11,male,11,le,6,7,3,5,6,7,4,
93,Hermes,male11,male,11,le,6,7,5,5,6,5,4,
94,Timothy Meowm'n,male1,male,1,le,6,5,5,4,6,6,4,
95,Ford,male30,male,30,le,5,7,5,5,4,7,5,
96,Azura,male110,male,110,le,6,6,4,4,6,5,4,
97,Hunk,male30,male,30,le,5,7,3,5,6,7,5,
98,Mr. Fat,male30,male,30,le,5,7,3,5,4,7,5,
99,Lysander,male21,male,21,le,4,4,6,6,5,6,4,
100,Mr. Kitty,male28,male,28,le,4,6,7,5,4,7,5,
101,Cagliostro,male30,male,30,le,6,7,3,5,6,7,5,
102,Poeska,female288,female,288,be,4,6,4,6,4,7,0,
103,Pepe,male30,male,30,le,5,7,3,5,4,7,5,
104,Veronica,robotom,robotom,,le,5,5,5,7,6,4,3,
105,Snayk,male11,male,11,le,5,7,3,5,4,7,4,
106,Goodwin,male288,male,288,be,6,7,4,6,4,5,0,
107,Hollie Naynay,female31,female,31,le,4,5,5,4,6,6,5,
108,Mississippi,robotomk,robotomk,,be,4,5,7,6,7,3,0,
109,Sakura,female59,female,59,le,5,6,4,4,6,4,6,
110,Litia,female19,female,19,le,6,6,6,4,4,5,4,
111,Dennis,male28,male,28,le,6,4,5,7,6,7,6,
112,Marfa,female49,female,49,le,6,5,6,5,4,4,5,
113,Old Hob,male11,male,11,le,6,4,5,7,4,6,5,
114,Chiron,male30,male,30,le,6,7,6,5,4,7,4,
115,Ferb,male40,male,40,le,6,4,4,6,5,6,4,
116,Murlika,female26,female,26,le,4,7,7,5,6,7,5,
117,Xandy,male23,male,23,le,4,4,6,6,3,5,7,
118,Kaya,robotomk,robotomk,,be,4,5,7,6,6,4,0,
119,Tinkerbell,male11,male,11,le,6,4,5,7,6,7,5,
120,Ms. Melons,female26,female,26,le,5,7,3,5,6,5,4,
121,Soki,female50,female,50,le,7,4,5,4,6,5,4,
122,Juggernaut,male11,male,11,le,6,4,5,5,6,7,4,
123,Rikka,female26,female,26,le,6,4,3,5,6,7,5,
124,Bill,male28,male,28,le,4,4,5,7,6,7,6,
125,Micky,spidercat5,spidercat,5,be,6,6,4,4,4,6,0,
126,Rogue,female56,female,56,le,6,5,6,4,5,6,4,
127,Roberta,female26,female,26,le,4,7,3,5,6,7,5,
128,Maebh,female26,female,26,le,4,7,5,7,6,7,5,
129,Liz,robotom,robotom,,le,4,5,5,7,4,7,5,
130,Isidoro,male11,male,11,le,6,4,5,5,6,6,4,
131,Fudgey,male73,male,73,le,6,5,5,3,6,4,6,
132,Frongus,female45,female,45,le,6,5,6,3,4,5,6,
133,Hades,female26,female,26,le,4,4,7,5,6,7,4,
134,Polka Dot,male11,male,11,le,6,7,3,5,6,7,5,
135,Mr. Poo,male11,male,11,le,6,4,5,5,6,7,5,
136,Orpheus,male95,male,95,le,6,5,5,7,3,5,4,
137,Sinem,female55,female,55,le,4,5,5,4,6,5,6,
138,Wyatt,male28,male,28,le,6,7,5,7,6,7,5,
139,Anthy,female26,female,26,le,4,7,5,7,6,7,6,
140,Chito,male472,male,472,be,4,4,4,5,6,7,0,
141,Pixibertha,female26,female,26,le,6,4,5,7,6,7,5,
142,Garm,male28,male,28,le,6,7,7,5,6,7,5,
143,Daisy,robotom,robotom,,le,4,4,5,7,6,6,4,
144,Ms. Demeanor,female32,female,32,le,6,5,5,5,5,4,6,
145,Pharrell,male28,male,28,le,4,4,5,7,6,7,6,
146,Romro,robotom,robotom,,le,6,4,5,7,6,7,6,
147,Shelly,robotom,robotom,,le,4,4,5,7,6,6,6,
148,Dawn,female35,female,35,le,4,4,5,6,5,6,5,
149,Sir,male28,male,28,le,6,7,5,7,6,7,5,
150,Lashley,male11,male,11,le,6,7,3,7,6,7,5,
151,Beast,male2,male,2,le,5,6,6,4,6,4,5,
152,Juhd,male11,male,11,le,6,4,5,7,6,6,4,
153,Frannie,male11,male,11,le,6,4,5,7,6,7,5,
154,Ive,female3,female,3,le,3,4,5,4,6,6,7,
155,Macy,female26,female,26,le,6,7,7,5,6,7,5,
156,Grembo,male28,male,28,le,3,7,5,4,6,6,5,
157,Tishi,female50,female,50,le,6,7,5,4,6,5,4,
158,Smithers,female54,female,54,le,7,4,5,4,6,7,4,
159,Jelly,male11,male,11,le,4,4,5,7,6,7,4,
160,Fionntan,male28,male,28,le,6,4,5,7,6,7,6,
161,Waylon,robotom,robotom,,le,6,4,5,7,6,7,6,
162,Eddie,robotom,robotom,,le,4,4,5,7,6,7,6,
163,Urania,female31,female,31,le,4,6,3,4,7,5,6,
164,Telulah,female11,female,11,le,5,4,6,5,5,5,5,
165,Mabel,female26,female,26,le,6,4,5,7,6,6,4,
166,Marlowe,robotom,robotom,,le,6,4,5,5,5,7,6,
167,Okami,robotom,robotom,,le,4,7,4,6,4,6,5,
168,Trish,female26,female,26,le,6,7,7,7,6,7,5,
169,Gracey,robotom,robotom,,le,5,4,5,7,6,7,5,
170,Primrose,female20,female,20,le,6,7,3,4,6,5,5,
171,Tai,female26,female,26,le,6,7,5,7,6,7,5,
172,Amadala,robotom,robotom,,le,6,7,5,4,6,5,6,
173,Wilhelm,male114,male,114,le,5,5,6,5,5,6,3,
174,Leopoldo,female50,female,50,le,7,4,5,7,6,7,5,
175,Nev,male28,male,28,le,6,4,5,7,6,7,6,
176,Gerog,male114,male,114,le,5,5,6,7,6,7,3,
177,Tac Yttik,male114,male,114,le,5,4,5,7,5,7,3,
178,Erwin,male9,male,9,le,5,6,4,6,5,4,5,
179,Saki,female54,female,54,le,4,4,4,6,6,7,4,
180,Bezik,female26,female,26,le,4,4,5,7,6,7,6,
181,Kye,female26,female,26,le,4,7,5,7,6,7,5,
182,Bambang,robotom,robotom,,le,4,7,5,7,6,5,6,
183,Carissa,male112,male,112,le,7,6,4,5,6,3,5,
184,Lady Long Legs,female36,female,36,le,5,4,6,4,5,5,6,
185,Sniff,female54,female,54,le,7,7,4,4,6,6,5,
186,Midona,female26,female,26,le,6,7,5,7,6,7,5,
187,Jimi,male28,male,28,le,6,7,7,5,6,7,5,
188,Ivanna,female26,female,26,le,6,4,6,5,5,6,3,
189,Ploob,female50,female,50,le,7,4,6,7,6,5,5,
190,Belphegor,female41,female,41,le,6,4,5,5,6,5,4,
191,Dean,male114,male,114,le,6,5,5,5,6,6,3,
192,Clueless,female36,female,36,le,5,4,5,7,6,7,6,
193,Jazzy,male11,male,11,le,4,4,5,7,5,7,4,
194,Noya,male26,male,26,le,6,7,5,5,4,4,4,
